iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	bonus_score	startStrokeTime	endStrokeTime	eventType
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347791432	1	knob	M71,68c0,14.94447 17.74991,53.99812 19,79c1.09609,21.92184 -21.5679,24.65843 -29,42c-9.57427,22.33997 13.80247,26.18518 16,13c1.05247,-6.3148 -4,-9.14404 -4,-14	1	0	0	0	1531347790482	1531347791335	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347792750	1	knob	M198,53c0,15.43327 6.33654,25.00961 11,39c0.23958,0.71873 1.70351,2.89449 1,4c-7.38308,11.60199 -18.2702,22.66887 -30,30c-7.32715,4.57947 -20.69294,10.86141 -30,9c-7.68051,-1.5361 -26.5489,-21.17664 -20,-31c3.13929,-4.70894 21.23613,-7.04166 26,-5c13.86105,5.94045 2,14.38543 2,11	2	0	0	0	1531347791893	1531347792715	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347801991	2	woven	M82,83c0,-2.02377 14.2603,-15.60824 16,-17c6.86012,-5.4881 21.45534,-13.90893 31,-12c4.57918,0.91584 11.01933,8 14,8	1	0	0	0	1531347801456	1531347801953	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347803029	2	woven	M156,129c0,-29.33333 0,-58.66667 0,-88c0,-7.67324 -0.64182,-32.57212 0,-33c7.69112,-5.12742 59.94022,6.70006 61,7c9.01608,2.55172 21.74363,8.03706 30,14c12.46867,9.00515 16.42602,21.07664 17,36c1.96841,51.17875 -13.2545,56 -65,56c-6.20228,0 -21.08617,2.91383 -26,-2	2	0	0	0	1531347802316	1531347802988	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347804083	2	woven	M219,128c0,21.23066 -47.09759,27.87276 -62,35c-1.61188,0.7709 -21.48054,14.25973 -22,14c-3.98923,-1.99462 -6.7245,-6.7245 -10,-10	3	0	0	0	1531347803368	1531347804050	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347805031	2	woven	M125,167c0,10.05359 -22.78875,41.4225 -22,43c16.31062,32.62124 106.56296,22.87408 121,-6c6.09484,-12.18968 -11.29879,-51 -27,-51	4	0	0	0	1531347804168	1531347805009	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347813008	3	leather	M131,34c-13.79457,0 -33.50964,20.75482 -46,27c-1.46157,0.73079 -23,4.52865 -23,5c0,1.05787 22.71748,20.14126 23,20c5.11318,-2.55659 55.39037,-40.39037 61,-46c2.15685,-2.15685 -6.17149,-5 -8,-5c-1.33333,0 -5.33333,0 -4,0c22,0 44,0 66,0c5.20477,0 27.35408,-3.29184 31,4c3.76689,7.53378 0,30.22538 0,38c0,6.88575 4.56914,31.43086 0,36c-2.68742,2.68742 -7.24146,-2.43622 -11,-3c-11.25149,-1.68772 -22.68926,-1.77057 -34,-3c-0.78639,-0.08548 -52.16478,-2.32957 -54,-6c-5.63946,-11.27891 0,-37.06437 0,-50	1	0	3	0.72	1531347810979	1531347812975	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347823995	4	inlay	M105,63c0,10.33333 0,20.66667 0,31c0,18 0,36 0,54c0,4.33333 0,13 0,13c0,0 13.83387,-4.34853 21,-5c6.64758,-0.60433 13.32658,-0.85493 20,-1c14.96396,-0.3253 30.01853,0 45,0c2,0 4.58579,1.41421 6,0c1.88562,-1.88562 0.21697,-5.34217 0,-8c-1.17122,-14.34749 -3.12031,-28.63169 -4,-43c-2.53298,-41.37202 -2,-59.26757 -2,-99	1	0	6	1.48	1531347823187	1531347823968	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347836864	5	sling	M96,185c-8.7343,-11.64573 -10,-26.91086 -10,-41	1	0	9	2.04	1531347836586	1531347836840	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347837515	5	sling	M171,240c-10.70713,-21.41425 -25.27186,-41.25022 -37,-62c-4.13515,-7.31604 -3.92585,-13.92585 -10,-20	2	0	9	2.04	1531347837237	1531347837473	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347847645	6	squat	M152,196c-44.58468,0 -57.73639,-31.93253 -59,-73c-0.75654,-24.58746 -12.63354,-68.06467 21,-74c22.53289,-3.97639 26.76184,26.14203 28,41c2.90137,34.81646 -16.56759,57.94539 -50,67c-8.27113,2.2401 -36.01169,7.17428 -42,-6c-8.11476,-17.85247 26.3631,-26.54563 37,-23c6.43689,2.14563 14.61822,11.20266 18,17c13.90285,23.83346 3.17388,34 -24,34	1	0	12	2.6	1531347846707	1531347847614	stroke
run0_bonusmeter_debug	6958-cc5e6ec4-6b37-4b8f-854a-8f538cfc7488	1531347856298	7	waiting	M116,111c0,-20.30037 -4.57531,-46.17367 0,-66c8.76247,-37.9707 63.74686,-9.13075 78,17c20.92446,38.3615 4,52.50056 4,84	1	0	15	3.3600000000000003	1531347855647	1531347856263	stroke
